-0064-06-07	-0064-05-01
-0064-07-06	-0064-06-01
-0064-08-05	-0064-07-01
-0064-09-03	-0064-08-01
-0064-10-03	-0064-09-01
-0064-11-01	-0064-10-01
-0064-12-01	-0064-11-01
-0064-12-30	-0064-12-01
-0065-01-22	-0066-12-01
-0065-02-20	-0065-01-01
-0065-03-22	-0065-02-01
-0065-04-20	-0065-03-01
-0065-05-20	-0065-04-01
-0065-06-18	-0065-05-01
-0065-07-18	-0065-06-01
-0065-08-16	-0065-07-01
-0065-09-15	-0065-08-01
-0065-10-14	-0065-09-01
-0065-11-13	-0065-10-01
-0065-12-12	-0065-11-01
-0066-01-03	-0067-12-01
-0066-02-01	-0066-01-01
-0066-03-03	-0066-02-01
-0066-04-01	-0066-03-01
-0066-05-01	-0066-04-01
-0066-05-30	-0066-05-01
-0066-06-29	-0066-06-01
-0066-07-28	-0066-07-01
-0066-08-27	-0066-08-01
-0066-09-25	-0066-09-01
-0066-10-25	-0066-09'-01
-0066-11-23	-0066-10-01
-0066-12-23	-0066-11-01
-0067-01-13	-0068-12-01
-0067-02-12	-0067-01-01
-0067-03-13	-0067-02-01
-0067-04-12	-0067-03-01
-0067-05-11	-0067-04-01
-0067-06-10	-0067-05-01
-0067-07-09	-0067-06-01
-0067-08-08	-0067-07-01
-0067-09-07	-0067-08-01
-0067-10-06	-0067-09-01
-0067-11-05	-0067-10-01
-0067-12-04	-0067-11-01
-0068-01-25	-0068-01-01
-0068-02-23	-0068-01'-01
-0068-03-24	-0068-02-01
-0068-04-22	-0068-03-01
-0068-05-22	-0068-04-01
-0068-06-21	-0068-05-01
-0068-07-20	-0068-06-01
-0068-08-19	-0068-07-01
-0068-09-17	-0068-08-01
-0068-10-17	-0068-09-01
-0068-11-15	-0068-10-01
-0068-12-15	-0068-11-01
-0069-01-06	-0070-12-01
-0069-02-05	-0069-01-01
-0069-03-06	-0069-02-01
-0069-04-05	-0069-03-01
-0069-05-04	-0069-04-01
-0069-06-03	-0069-05-01
-0069-07-02	-0069-06-01
-0069-08-01	-0069-07-01
-0069-08-30	-0069-08-01
-0069-09-29	-0069-09-01
-0069-10-28	-0069-10-01
-0069-11-27	-0069-11-01
-0069-12-26	-0069-12-01
-0070-01-17	-0071-12-01
-0070-02-15	-0070-01-01
-0070-03-17	-0070-02-01
-0070-04-15	-0070-03-01
-0070-05-15	-0070-04-01
-0070-06-13	-0070-05-01
-0070-07-13	-0070-06-01
-0070-08-11	-0070-07-01
-0070-09-10	-0070-08-01
-0070-10-09	-0070-09-01
-0070-11-08	-0070-10-01
-0070-12-07	-0070-11-01
-0071-01-27	-0071-01-01
-0071-02-26	-0071-02-01
-0071-03-27	-0071-03-01
-0071-04-26	-0071-04-01
-0071-05-25	-0071-05-01
-0071-06-24	-0071-05'-01
-0071-07-23	-0071-06-01
